LaneID,Origin,Destination,Distance,Freight Type,CarrierID,CarrierType,BidPrice
Lane-0001,"Chicago, IL","Atlanta, GA",700,Dry Van,A003,Asset,1209.57
Lane-0002,"Chicago, IL","Boston, MA",1000,Dry Van,A003,Asset,1806.19
Lane-0003,"Chicago, IL","Charlotte, NC",750,Dry Van,A003,Asset,1189.86
Lane-0004,"Chicago, IL","Denver, CO",1000,Dry Van,A003,Asset,1895.64
Lane-0005,"Chicago, IL","Houston, TX",1100,Dry Van,A003,Asset,1831.61
Lane-0006,"Chicago, IL","Indianapolis, IN",180,Dry Van,A003,Asset,340.57
Lane-0007,"Chicago, IL","Jacksonville, FL",1000,Dry Van,A003,Asset,1914.09
Lane-0008,"Chicago, IL","Kansas City, MO",550,Dry Van,A003,Asset,954.98
Lane-0009,"Chicago, IL","Las Vegas, NV",1750,Dry Van,A003,Asset,3163.79
Lane-0010,"Chicago, IL","Miami, FL",1400,Dry Van,A003,Asset,2366.47
Lane-0011,"Chicago, IL","Minneapolis, MN",400,Dry Van,A003,Asset,644.87
Lane-0012,"Chicago, IL","Nashville, TN",450,Dry Van,A003,Asset,855.43
Lane-0013,"Chicago, IL","New Orleans, LA",900,Dry Van,A003,Asset,1424.2
Lane-0014,"Chicago, IL","New York, NY",800,Dry Van,A003,Asset,1368.72
Lane-0015,"Chicago, IL","Phoenix, AZ",1750,Dry Van,A003,Asset,3066.72
Lane-0016,"Chicago, IL","Pittsburgh, PA",450,Dry Van,A003,Asset,753.92
Lane-0017,"Chicago, IL","Portland, OR",2100,Dry Van,A003,Asset,3719.88
Lane-0018,"Chicago, IL","Salt Lake City, UT",1400,Dry Van,A003,Asset,2539.72
Lane-0019,"Chicago, IL","San Antonio, TX",1200,Dry Van,A003,Asset,1974.51
Lane-0020,"Chicago, IL","Seattle, WA",2000,Dry Van,A003,Asset,3901.04
Lane-0021,"Chicago, IL","St. Louis, MO",300,Dry Van,A003,Asset,493.01
Lane-0022,"Dallas, TX","Atlanta, GA",800,Dry Van,A003,Asset,1356.48
Lane-0023,"Dallas, TX","Boston, MA",1550,Dry Van,A003,Asset,2490.88
Lane-0024,"Dallas, TX","Charlotte, NC",1000,Dry Van,A003,Asset,1659.53
Lane-0025,"Dallas, TX","Denver, CO",800,Dry Van,A003,Asset,1387.63
Lane-0026,"Dallas, TX","Houston, TX",250,Dry Van,A003,Asset,423.13
Lane-0027,"Dallas, TX","Indianapolis, IN",900,Dry Van,A003,Asset,1600.1
Lane-0028,"Dallas, TX","Jacksonville, FL",1000,Dry Van,A003,Asset,1700.35
Lane-0029,"Dallas, TX","Kansas City, MO",550,Dry Van,A003,Asset,923.71
Lane-0030,"Dallas, TX","Las Vegas, NV",1200,Dry Van,A003,Asset,2033.55
Lane-0031,"Dallas, TX","Miami, FL",1300,Dry Van,A003,Asset,2339.95
Lane-0032,"Dallas, TX","Minneapolis, MN",1000,Dry Van,A003,Asset,1678.0
Lane-0033,"Dallas, TX","Nashville, TN",650,Dry Van,A003,Asset,1169.85
Lane-0034,"Dallas, TX","New Orleans, LA",500,Dry Van,A003,Asset,891.48
Lane-0035,"Dallas, TX","New York, NY",1550,Dry Van,A003,Asset,2651.62
Lane-0036,"Dallas, TX","Phoenix, AZ",1050,Dry Van,A003,Asset,2014.17
Lane-0037,"Dallas, TX","Pittsburgh, PA",1200,Dry Van,A003,Asset,2196.61
Lane-0038,"Dallas, TX","Portland, OR",2000,Dry Van,A003,Asset,3532.4
Lane-0039,"Dallas, TX","Salt Lake City, UT",1200,Dry Van,A003,Asset,1840.28
Lane-0040,"Dallas, TX","San Antonio, TX",300,Dry Van,A003,Asset,561.0
Lane-0041,"Dallas, TX","Seattle, WA",2100,Dry Van,A003,Asset,4079.21
Lane-0042,"Dallas, TX","St. Louis, MO",600,Dry Van,A003,Asset,1125.11
Lane-0043,"Los Angeles, CA","Atlanta, GA",2150,Dry Van,A003,Asset,3404.02
Lane-0044,"Los Angeles, CA","Boston, MA",2900,Dry Van,A003,Asset,4260.55
Lane-0045,"Los Angeles, CA","Charlotte, NC",2400,Dry Van,A003,Asset,4288.79
Lane-0046,"Los Angeles, CA","Denver, CO",1050,Dry Van,A003,Asset,1642.17
Lane-0047,"Los Angeles, CA","Houston, TX",1550,Dry Van,A003,Asset,2497.02
Lane-0048,"Los Angeles, CA","Indianapolis, IN",2050,Dry Van,A003,Asset,3664.28
Lane-0049,"Los Angeles, CA","Jacksonville, FL",2400,Dry Van,A003,Asset,4279.16
Lane-0050,"Los Angeles, CA","Kansas City, MO",1600,Dry Van,A003,Asset,2824.11
Lane-0051,"Los Angeles, CA","Las Vegas, NV",270,Dry Van,A003,Asset,490.69
Lane-0052,"Los Angeles, CA","Miami, FL",2700,Dry Van,A003,Asset,4029.86
Lane-0053,"Los Angeles, CA","Minneapolis, MN",1900,Dry Van,A003,Asset,3376.6
Lane-0054,"Los Angeles, CA","Nashville, TN",2000,Dry Van,A003,Asset,3213.0
Lane-0055,"Los Angeles, CA","New Orleans, LA",1900,Dry Van,A003,Asset,3114.64
Lane-0056,"Los Angeles, CA","New York, NY",2800,Dry Van,A003,Asset,4816.48
Lane-0057,"Los Angeles, CA","Phoenix, AZ",400,Dry Van,A003,Asset,733.7
Lane-0058,"Los Angeles, CA","Pittsburgh, PA",2400,Dry Van,A003,Asset,4517.22
Lane-0059,"Los Angeles, CA","Portland, OR",950,Dry Van,A003,Asset,1489.65
Lane-0060,"Los Angeles, CA","Salt Lake City, UT",700,Dry Van,A003,Asset,1039.1
Lane-0061,"Los Angeles, CA","San Antonio, TX",1350,Dry Van,A003,Asset,2414.57
Lane-0062,"Los Angeles, CA","Seattle, WA",1200,Dry Van,A003,Asset,2191.88
Lane-0063,"Los Angeles, CA","St. Louis, MO",1800,Dry Van,A003,Asset,2676.3
